pellucid;transparently clear, easily understandable;5.4
annex;attach to;-0.40000000000000013
scurrilous;expressing offensive reproach;8.2
quixotic;not sensible about practical matters;12.399999999999999
maelstrom;a powerful circular current of water;9.0
